idptar;nomptar;STIF;CodeINSEE;X;Y;coord;UFR;AnnonceSonoreProchainPassage;AnnonceVisuelleProchainPassage;AnnonceSonoreSituationsPerturbees;AnnonceVisuelleSituationsPerturbees;PAQT;AccessibiliteQuaiTrain
1856;Les Sablons (Jardin d'acclimatation);1001100010001;92051;595260;2431446;48.8812991447, 2.27191517268;0;1;1;1;1;0;0
1887;La Défense (Grande Arche);1001100010001;92062;592772;2432620;48.8918267141, 2.23799203988;0;1;1;1;1;0;0
1751;Porte de Vincennes;1001100010001;75120;605457;2427632;48.8470164776, 2.410816879;0;1;1;1;1;0;0
2433;Porte Maillot;1001100010001;75117;596034;2431079;48.8780061355, 2.28246563667;0;1;1;1;1;0;0
1955;Gare de Lyon;1001100010001;75112;602713;2427468;48.8455597463, 2.37344920163;0;1;1;1;1;0;0
2036;Châtelet;1001100010001;75101;600839;2428915;48.8585696317, 2.3479332425;0;1;1;1;1;0;0
2498;Tuileries;1001100010001;75101;599456;2429606;48.8647801217, 2.3290949511;0;1;1;1;1;0;0
2067;Bérault;1001100010001;94080;606737;2427450;48.8453687094, 2.42824450629;0;1;1;1;1;0;0
2116;Bérault;1001100010001;94080;606737;2427450;48.8453687094, 2.42824450629;0;1;1;1;1;0;0
2258;Esplanade de la Défense;1001100010001;92062;593648;2432233;48.8883580194, 2.24993720953;0;1;1;1;1;0;0
1788;Philippe Auguste;1001100020001;75111;603908;2428895;48.8583788007, 2.38973472941;0;1;1;1;1;0;0
1989;Courcelles;1001100020001;75108;597563;2431219;48.8792721109, 2.30329854335;0;1;1;1;1;0;0
1694;Victor Hugo;1001100020001;75116;596236;2430173;48.8698648717, 2.28522620392;0;1;1;1;1;0;0
1822;Monceau;1001100020001;75108;598012;2431364;48.88057685, 2.30941594283;0;1;1;1;1;0;0
2079;Couronnes;1001100020001;75111;603232;2430113;48.8693291287, 2.38053636283;0;1;1;1;1;0;0
1900;Jaurès;1001100020001;75119;602454;2431608;48.882768506, 2.36994579566;0;1;1;1;1;0;0
2046;Anvers;1001100020001;75118;600562;2431619;48.8828716494, 2.34416356947;0;1;1;1;1;0;0
2058;Avron;1001100020001;75111;604533;2428096;48.8511937784, 2.39823913749;0;1;1;1;1;0;0
