geom_x_y;objectid;arrondissement;identifiant;numero_voie;nom_voie;x;y;horaires_ouverture;gestionnaire;source
48.8668198774, 2.35272664515;13;02;2/106;109;BOULEVARD DE SEBASTOPOL;601188.661476;129596.561431;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8544281281, 2.33099520431;61;06;6/146;186;BOULEVARD SAINT GERMAIN;599594.287804;128218.475657;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8607904234, 2.35131574473;42;04;4/130;123;RUE SAINT MARTIN;601085.282148;128926.060506;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8498348758, 2.32305465373;67;07;7/127;40;RUE DE SEVRES;599011.512815;127707.775615;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8551043871, 2.29589590523;65;07;7/124;;AVENUE CHARLES FLOQUET;597018.73;128294.464;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8651488379, 2.31808802785;71;08;8/103;;COURS LA REINE;598647.453475;129410.776017;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8323424466, 2.33094074871;211;14;14/118;face 18;AVENUE DU GENERAL LECLERC;599590.094411;125762.531625;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8611231272, 2.36703242245;25;03;3/103;1;BOULEVARD DES FILLES DU CALVAIRE;602238.415459;128963.405014;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8325839304, 2.35616417308;197;13;13/170;146;BOULEVARD DE L HOPITAL;601441.81306;125789.559049;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8655035113, 2.3522490913;29;03;3/111;82;BOULEVARD DE SEBASTOPOL;601153.656757;129450.173102;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8303689517, 2.33383417366;207;14;14/113;face 14;AVENUE RENE COTY;599802.5;125543.066;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8889514414, 2.39309576671;363;19;19/136;213;AVENUE JEAN JAURES;604148.393561;132059.039202;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8908073507, 2.31967009491;291;17;17/137;135;AVENUE DE CLICHY;598764.176889;132263.993006;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.826231662, 2.30534375195;212;14;14/119;3;RUE MAURICE NOGUES;597710.658625;125083.464713;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8683459405, 2.36077777293;99;10;10/109;40;RUE RENE BOULANGER;601779.255481;129766.419877;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8354861014, 2.31779797752;201;14;14/104;opposé au 3;RUE DE L ABBE SOULANGE BODIN;598625.334013;126112.263413;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8784476343, 2.37394970898;344;19;19/107;29;AVENUE MATHURIN MOREAU;602744.996148;130890.131526;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8649497422, 2.39471760215;385;20;20/121;face 4;PLACE MARTIN NADAUD;604269.364671;129390.124661;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8462434637, 2.27762807252;248;15;15/127;face 2;AVENUE EMILE ZOLA;595677.474395;127310.013436;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8425893817, 2.29213723446;245;15;15/121;26;PLACE ETIENNE PERNET;596742.09359;126902.943297;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8381106104, 2.32233836209;200;14;14/103;88;AVENUE DU MAINE;598958.692725;126404.038189;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8582009701, 2.3497975967;39;04;4/120;14;RUE SAINT MARTIN;600973.942933;128638.090535;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8602837777, 2.34647836638;8;01;1/130;2;RUE DE LA LINGERIE;600730.366008;128869.662525;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8684257357, 2.38988864716;387;20;20/127;3;RUE SORBIER;603914.818137;129776.394991;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8441411997, 2.44113275967;169;12;12/162;;AVENUE DE NOGENT;607677.805027;127079.874145;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8920795027, 2.36154810531;309;18;18/112;opposé au 10;RUE DE L EVANGILE;601834.907908;132405.626891;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8404714766, 2.32683121793;199;14;14/102;face 32;BOULEVARD EDGAR QUINET;599288.523578;126666.516347;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8723150752, 2.36958303183;98;10;10/108;face 4;AVENUE CLAUDE VELLEFAUX;602425.017149;130208.036682;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8834206143, 2.34743317135;86;09;9/116;17;BOULEVARD DE ROCHECHOUART;600800.065808;131442.5047;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8394184396, 2.2914579762;235;15;15/109;150;RUE DE LA CONVENTION;596692.024655;126550.362152;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8689996554, 2.35617327983;91;10;10/101;20;BOULEVARD SAINT MARTIN;601441.452196;129839.014662;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8461125674, 2.37654775403;168;12;12/156;32;BOULEVARD DIDEROT;602937.435278;127294.547291;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
